index,code,unit,statisticalUnit,description
29,KS102EW0017,Count,Person,Age 90 and over
30,KS102EW0018,Years,Person,Mean age
31,KS102EW0019,Years,Person,Median age
32,KS102EW0020,Percentage,Person,Age 0 to 4
33,KS102EW0021,Percentage,Person,Age 5 to 7
34,KS102EW0022,Percentage,Person,Age 8 to 9
35,KS102EW0023,Percentage,Person,Age 10 to 14
36,KS102EW0024,Percentage,Person,Age 15
37,KS102EW0025,Percentage,Person,Age 16 to 17
38,KS102EW0026,Percentage,Person,Age 18 to 19
39,KS102EW0027,Percentage,Person,Age 20 to 24
40,KS102EW0028,Percentage,Person,Age 25 to 29
41,KS102EW0029,Percentage,Person,Age 30 to 44
42,KS102EW0030,Percentage,Person,Age 45 to 59
43,KS102EW0031,Percentage,Person,Age 60 to 64
44,KS102EW0032,Percentage,Person,Age 65 to 74
45,KS102EW0033,Percentage,Person,Age 75 to 84
46,KS102EW0034,Percentage,Person,Age 85 to 89
47,KS102EW0035,Percentage,Person,Age 90 and over
48,KS103EW0001,Count,Person,All categories: Marital and civil partnership status
49,KS103EW0002,Count,Person,Single (never married or never registered a same-sex civil partnership)
50,KS103EW0003,Count,Person,Married
51,KS103EW0004,Count,Person,In a registered same-sex civil partnership
52,KS103EW0005,Count,Person,Separated (but still legally married or still legally in a same-sex civil partnership)
53,KS103EW0006,Count,Person,Divorced or formerly in a same-sex civil partnership which is now legally dissolved
54,KS103EW0007,Count,Person,Widowed or surviving partner from a same-sex civil partnership
55,KS103EW0008,Percentage,Person,Single (never married or never registered a same-sex civil partnership)
56,KS103EW0009,Percentage,Person,Married
57,KS103EW0010,Percentage,Person,In a registered same-sex civil partnership
58,KS103EW0011,Percentage,Person,Separated (but still legally married or still legally in a same-sex civil partnership)
59,KS103EW0012,Percentage,Person,Divorced or formerly in a same-sex civil partnership which is now legally dissolved
60,KS103EW0013,Percentage,Person,Widowed or surviving partner from a same-sex civil partnership
61,KS104EW0001,Count,Person,All categories: Living arrangements
62,KS104EW0002,Count,Person,Living in a couple: Married or in a registered same-sex civil partnership
63,KS104EW0003,Count,Person,Living in a couple: Cohabiting
64,KS104EW0004,Count,Person,Not living in a couple: Single (never married or never registered a same-sex civil partnership)
65,KS104EW0005,Count,Person,Not living in a couple: Married or in a registered same-sex civil partnership
66,KS104EW0006,Count,Person,Not living in a couple: Separated (but still legally married or still legally in a same-sex civil partnership)
67,KS104EW0007,Count,Person,Not living in a couple: Divorced or formerly in a same-sex civil partnership which is now legally dissolved
68,KS104EW0008,Count,Person,Not living in a couple: Widowed or surviving partner from a same-sex civil partnership
69,KS104EW0009,Percentage,Person,Living in a couple: Married or in a registered same-sex civil partnership
70,KS104EW0010,Percentage,Person,Living in a couple: Cohabiting
71,KS104EW0011,Percentage,Person,Not living in a couple: Single (never married or never registered a same-sex civil partnership)
72,KS104EW0012,Percentage,Person,Not living in a couple: Married or in a registered same-sex civil partnership
965,QS103EW0065,Count,Person,Age 63
73,KS104EW0013,Percentage,Person,Not living in a couple: Separated (but still legally married or still legally in a same-sex civil partnership)
74,KS104EW0014,Percentage,Person,Not living in a couple: Divorced or formerly in a same-sex civil partnership which is now legally dissolved
75,KS104EW0015,Percentage,Person,Not living in a couple: Widowed or surviving partner from a same-sex civil partnership
76,KS105EW0001,Count,Household,All categories: Household composition
77,QS103EW0057,Count,Person,Age 55
78,KS105EW0002,Count,Household,One person household: Aged 65 and over
79,KS105EW0003,Count,Household,One person household: Other
80,KS105EW0004,Count,Household,One family only: All aged 65 and over
81,KS105EW0005,Count,Household,One family only: Married or same-sex civil partnership couple: No children
82,KS105EW0006,Count,Household,One family only: Married or same-sex civil partnership couple: Dependent children
83,KS105EW0007,Count,Household,One family only: Married or same-sex civil partnership couple: All children non-dependent
84,KS105EW0008,Count,Household,One family only: Cohabiting couple: No children
85,KS105EW0009,Count,Household,One family only: Cohabiting couple: Dependent children
86,KS105EW0010,Count,Household,One family only: Cohabiting couple: All children non-dependent
87,KS105EW0011,Count,Household,One family only: Lone parent: Dependent children
88,KS105EW0012,Count,Household,One family only: Lone parent: All children non-dependent
89,KS105EW0013,Count,Household,Other household types: With dependent children
90,KS105EW0014,Count,Household,Other household types: All full-time students
91,KS105EW0015,Count,Household,Other household types: All aged 65 and over
92,KS105EW0016,Count,Household,Other household types: Other
93,KS105EW0017,Percentage,Household,One person household: Aged 65 and over
94,KS105EW0018,Percentage,Household,One person household: Other
95,KS105EW0019,Percentage,Household,One family only: All aged 65 and over
96,KS105EW0020,Percentage,Household,One family only: Married or same-sex civil partnership couple: No children
97,KS105EW0021,Percentage,Household,One family only: Married or same-sex civil partnership couple: Dependent children
98,KS105EW0022,Percentage,Household,One family only: Married or same-sex civil partnership couple: All children non-dependent
99,KS105EW0023,Percentage,Household,One family only: Cohabiting couple: No children
100,KS105EW0024,Percentage,Household,One family only: Cohabiting couple: Dependent children
101,KS105EW0025,Percentage,Household,One family only: Cohabiting couple: All children non-dependent
102,KS105EW0026,Percentage,Household,One family only: Lone parent: Dependent children
103,KS105EW0027,Percentage,Household,One family only: Lone parent: All children non-dependent
104,KS105EW0028,Percentage,Household,Other household types: With dependent children
105,KS105EW0029,Percentage,Household,Other household types: All full-time students
106,KS105EW0030,Percentage,Household,Other household types: All aged 65 and over
107,KS105EW0031,Percentage,Household,Other household types: Other
108,KS106EW0001,Count,Household,All households
109,KS106EW0002,Count,Household,No adults in employment in household: With dependent children
110,KS106EW0003,Count,Household,No adults in employment in household: No dependent children
111,KS106EW0004,Count,Household,Dependent children in household: All ages
112,KS106EW0005,Count,Household,Dependent children in household: Age 0 to 4
113,KS106EW0006,Count,Household,One person in household with a long-term health problem or disability: With dependent children
114,KS106EW0007,Count,Household,One person in household with a long-term health problem or disability: No dependent children
115,KS106EW0008,Percentage,Household,No adults in employment in household: With dependent children
116,KS106EW0009,Percentage,Household,No adults in employment in household: No dependent children
117,KS106EW0010,Percentage,Household,Dependent children in household: All ages
118,KS106EW0011,Percentage,Household,Dependent children in household: Age 0 to 4
119,KS106EW0012,Percentage,Household,One person in household with a long-term health problem or disability: With dependent children
120,KS106EW0013,Percentage,Household,One person in household with a long-term health problem or disability: No dependent children
121,KS107EW0001,Count,Household,All categories: Family status (lone parent) by sex and economic activity
122,KS107EW0002,Count,Household,Lone parent in part-time employment: Total
123,KS107EW0003,Count,Household,Lone parent in full-time employment: Total
124,KS107EW0004,Count,Household,Lone parent not in employment: Total
125,KS107EW0005,Count,Household,Male lone parent: Total
126,KS107EW0006,Count,Household,Male lone parent: In part-time employment
127,KS107EW0007,Count,Household,Male lone parent: In full-time employment
128,KS107EW0008,Count,Household,Male lone parent: Not in employment
129,KS107EW0009,Count,Household,Female lone parent: Total
130,KS107EW0010,Count,Household,Female lone parent: In part-time employment
131,KS107EW0011,Count,Household,Female lone parent: In full-time employment
132,KS107EW0012,Count,Household,Female lone parent: Not in employment
133,KS107EW0013,Percentage,Household,Lone parent in part-time employment: Total
134,KS107EW0014,Percentage,Household,Lone parent in full-time employment: Total
135,KS107EW0015,Percentage,Household,Lone parent not in employment: Total
136,KS107EW0016,Percentage,Household,Male lone parent: Total
137,KS107EW0017,Percentage,Household,Male lone parent: In part-time employment
138,KS107EW0018,Percentage,Household,Male lone parent: In full-time employment
139,KS107EW0019,Percentage,Household,Male lone parent: Not in employment
140,KS107EW0020,Percentage,Household,Female lone parent: Total
141,KS107EW0021,Percentage,Household,Female lone parent: In part-time employment
142,KS107EW0022,Percentage,Household,Female lone parent: In full-time employment
143,KS107EW0023,Percentage,Household,Female lone parent: Not in employment
144,KS201EW0001,Count,Person,All categories: Ethnic group
145,KS201EW0002,Count,Person,White: English/Welsh/Scottish/Northern Irish/British
146,KS201EW0003,Count,Person,White: Irish
147,KS201EW0004,Count,Person,White: Gypsy or Irish Traveller
148,KS201EW0005,Count,Person,White: Other White
149,KS201EW0006,Count,Person,Mixed/multiple ethnic group: White and Black Caribbean
150,KS201EW0007,Count,Person,Mixed/multiple ethnic group: White and Black African
151,KS201EW0008,Count,Person,Mixed/multiple ethnic group: White and Asian
152,KS201EW0009,Count,Person,Mixed/multiple ethnic group: Other Mixed
153,KS201EW0010,Count,Person,Asian/Asian British: Indian
154,KS201EW0011,Count,Person,Asian/Asian British: Pakistani
155,KS201EW0012,Count,Person,Asian/Asian British: Bangladeshi
156,KS201EW0013,Count,Person,Asian/Asian British: Chinese
157,KS201EW0014,Count,Person,Asian/Asian British: Other Asian
158,KS201EW0015,Count,Person,Black/African/Caribbean/Black British: African
159,KS201EW0016,Count,Person,Black/African/Caribbean/Black British: Caribbean
160,KS201EW0017,Count,Person,Black/African/Caribbean/Black British: Other Black
161,KS201EW0018,Count,Person,Other ethnic group: Arab
162,KS201EW0019,Count,Person,Other ethnic group: Any other ethnic group
163,KS201EW0020,Percentage,Person,White: English/Welsh/Scottish/Northern Irish/British
164,KS201EW0021,Percentage,Person,White: Irish
165,KS201EW0022,Percentage,Person,White: Gypsy or Irish Traveller
166,KS201EW0023,Percentage,Person,White: Other White
167,KS201EW0024,Percentage,Person,Mixed/multiple ethnic groups: White and Black Caribbean
168,KS201EW0025,Percentage,Person,Mixed/multiple ethnic groups: White and Black African
169,KS201EW0026,Percentage,Person,Mixed/multiple ethnic groups: White and Asian
170,KS201EW0027,Percentage,Person,Mixed/multiple ethnic groups: Other Mixed
171,KS201EW0028,Percentage,Person,Asian/Asian British: Indian
172,KS201EW0029,Percentage,Person,Asian/Asian British: Pakistani
173,KS201EW0030,Percentage,Person,Asian/Asian British: Bangladeshi
174,KS201EW0031,Percentage,Person,Asian/Asian British: Chinese
175,KS201EW0032,Percentage,Person,Asian/Asian British: Other Asian
176,KS201EW0033,Percentage,Person,Black/African/Caribbean/Black British: African
177,KS201EW0034,Percentage,Person,Black/African/Caribbean/Black British: Caribbean
178,KS201EW0035,Percentage,Person,Black/African/Caribbean/Black British: Other Black
179,KS201EW0036,Percentage,Person,Other ethnic group: Arab
180,KS201EW0037,Percentage,Person,Other ethnic group: Any other ethnic group
181,KS202EW0001,Count,Person,All categories: National identity English
182,KS202EW0002,Count,Person,English only identity
183,KS202EW0003,Count,Person,English and British only identity
184,KS202EW0004,Count,Person,Other English combined background identity
185,KS202EW0005,Count,Person,No English identity
186,KS202EW0006,Count,Person,All categories: National identity Welsh
187,KS202EW0007,Count,Person,Welsh only identity
188,KS202EW0008,Count,Person,Welsh and British only identity
189,KS202EW0009,Count,Person,Other Welsh combined background identity
190,KS202EW0010,Count,Person,No Welsh identity
191,KS202EW0011,Count,Person,All categories: National identity Scottish
192,KS202EW0012,Count,Person,Scottish only identity
193,KS202EW0013,Count,Person,Scottish and British only identity
194,KS202EW0014,Count,Person,Other Scottish combined background identity
195,KS202EW0015,Count,Person,No Scottish identity
196,KS202EW0016,Count,Person,All categories: National identity Northern Irish
197,KS202EW0017,Count,Person,Northern Irish only identity
198,KS202EW0018,Count,Person,Northern Irish and British only identity
199,KS202EW0019,Count,Person,Other Northern Irish combined background identity
200,KS202EW0020,Count,Person,No Northern Irish identity
201,KS202EW0021,Count,Person,All categories: National identity British
202,KS202EW0022,Count,Person,British only identity
203,KS202EW0023,Count,Person,British and any other identity
204,KS202EW0024,Count,Person,No British identity
205,KS202EW0025,Count,Person,All categories: National identity Cornish
206,KS202EW0026,Count,Person,Cornish only identity
207,KS202EW0027,Count,Person,Cornish and British only identity
208,KS202EW0028,Count,Person,Cornish and at least one of English/Welsh/Scottish/Northern Irish identities (with or without British)
209,KS202EW0029,Count,Person,No Cornish identity
210,KS202EW0030,Count,Person,All categories: National identity Irish
211,KS202EW0031,Count,Person,Irish only identity
212,KS202EW0032,Count,Person,Irish and British only identity
213,KS202EW0033,Count,Person,Irish and Northern Irish only identity
214,KS202EW0034,Count,Person,"Irish, Northern Irish and British only identity"
215,KS202EW0035,Count,Person,Irish and at least one of English/Welsh/Scottish identities (with or without British)
216,KS202EW0036,Count,Person,"Irish, Northern Irish and at least one of English/Welsh/Scottish identities (with or without British)"
217,KS202EW0037,Count,Person,No Irish identity
966,QS103EW0066,Count,Person,Age 64
218,KS202EW0038,Count,Person,All categories: National identity Other
219,KS202EW0039,Count,Person,Other identities only
220,KS202EW0040,Count,Person,Other identities and at least one of English/Welsh/Scottish/Northern Irish/British only
221,KS202EW0041,Count,Person,At least one of English/Welsh/Scottish/Northern Irish/British identities only
222,KS202EW0042,Percentage,Person,English only identity
223,KS202EW0043,Percentage,Person,English and British only identity
224,KS202EW0044,Percentage,Person,Other English combined background identity
225,KS202EW0045,Percentage,Person,No English identity
226,KS202EW0046,Percentage,Person,Welsh only identity
227,KS202EW0047,Percentage,Person,Welsh and British only identity
228,KS202EW0048,Percentage,Person,Other Welsh combined background identity
229,KS202EW0049,Percentage,Person,No Welsh identity
230,KS202EW0050,Percentage,Person,Scottish only identity
231,KS202EW0051,Percentage,Person,Scottish and British only identity
232,KS202EW0052,Percentage,Person,Other Scottish combined background identity
233,KS202EW0053,Percentage,Person,No Scottish identity
234,KS202EW0054,Percentage,Person,Northern Irish only identity
235,KS202EW0055,Percentage,Person,Northern Irish and British only identity
236,KS207WA0013,Percentage,Person,Can speak and read but cannot write Welsh
237,KS202EW0056,Percentage,Person,Other Northern Irish combined background identity
238,KS202EW0057,Percentage,Person,No Northern Irish identity
239,KS202EW0058,Percentage,Person,British only identity
240,KS202EW0059,Percentage,Person,British and any other identity
241,KS202EW0060,Percentage,Person,No British identity
242,KS202EW0061,Percentage,Person,Cornish only identity
243,KS202EW0062,Percentage,Person,Cornish and British only identity
244,KS202EW0063,Percentage,Person,Cornish and at least one of English/Welsh/Scottish/Northern Irish identities (with or without British)
245,KS202EW0064,Percentage,Person,No Cornish identity
246,KS202EW0065,Percentage,Person,Irish only identity
247,KS202EW0066,Percentage,Person,Irish and British only identity
248,KS202EW0067,Percentage,Person,Irish and Northern Irish only identity
249,KS202EW0068,Percentage,Person,"Irish, Northern Irish and British only identity"
250,KS202EW0069,Percentage,Person,Irish and at least one of English/Welsh/Scottish identities (with or without British)
251,KS202EW0070,Percentage,Person,"Irish, Northern Irish and at least one of English/Welsh/Scottish identities (with or without British)"
252,KS202EW0071,Percentage,Person,No Irish identity
253,KS202EW0072,Percentage,Person,Other identities only
254,KS202EW0073,Percentage,Person,Other identities and at least one of English/Welsh/Scottish/Northern Irish/British only
255,KS202EW0074,Percentage,Person,At least one of English/Welsh/Scottish/Northern Irish/British identities only
256,KS204EW0001,Count,Person,All categories: Country of birth
257,KS204EW0002,Count,Person,England
258,KS204EW0003,Count,Person,Northern Ireland
259,KS204EW0004,Count,Person,Scotland
260,KS204EW0005,Count,Person,Wales
261,KS204EW0006,Count,Person,United Kingdom not otherwise specified
262,KS204EW0007,Count,Person,Ireland
263,KS204EW0008,Count,Person,Other EU: Member countries in March 2001
264,KS204EW0009,Count,Person,Other EU: Accession countries April 2001 to March 2011
265,KS204EW0010,Count,Person,Other countries
266,KS204EW0011,Percentage,Person,England
267,KS204EW0012,Percentage,Person,Northern Ireland
268,KS204EW0013,Percentage,Person,Scotland
269,KS204EW0014,Percentage,Person,Wales
270,KS204EW0015,Percentage,Person,United Kingdom not otherwise specified\n
271,KS204EW0016,Percentage,Person,Ireland
272,KS204EW0017,Percentage,Person,Other EU: Member countries in March 2001
273,KS204EW0018,Percentage,Person,Other EU: Accession countries April 2001 to March 2011
274,KS204EW0019,Percentage,Person,Other countries
275,KS205EW0001,Count,Person,All usual residents
276,KS205EW0002,Count,Person,No passport
277,KS205EW0003,Count,Person,United Kingdom
278,KS205EW0004,Count,Person,Republic of Ireland
279,KS205EW0005,Count,Person,Other Europe: EU countries
280,KS205EW0006,Count,Person,Other Europe: Non EU countries
281,KS205EW0007,Count,Person,Africa
282,KS205EW0008,Count,Person,Middle East and Asia
283,KS205EW0009,Count,Person,North America and the Caribbean
284,KS205EW0010,Count,Person,Central America
285,KS205EW0011,Count,Person,South America
286,KS205EW0012,Count,Person,Antarctica and Oceania
287,KS205EW0013,Count,Person,British Overseas Territories
288,KS205EW0014,Percentage,Person,No passport
289,KS205EW0015,Percentage,Person,United Kingdom
290,KS205EW0016,Percentage,Person,Republic of Ireland
291,KS205EW0017,Percentage,Person,Other Europe: EU countries
292,KS205EW0018,Percentage,Person,Other Europe: Non EU countries
293,KS205EW0019,Percentage,Person,Africa
294,KS205EW0020,Percentage,Person,Middle East and Asia
295,KS205EW0021,Percentage,Person,North America and the Caribbean
296,KS205EW0022,Percentage,Person,Central America
297,KS205EW0023,Percentage,Person,South America
298,KS205EW0024,Percentage,Person,Antarctica and Oceania
299,KS205EW0025,Percentage,Person,British Overseas Territories
380,KS301EW0012,Count,Person,Very bad health
300,KS206EW0001,Count,Household,All categories: English as a household language
301,KS206EW0002,Count,Household,All people aged 16 and over in household have English as a main language (English or Welsh in Wales)
302,KS206EW0003,Count,Household,At least one but not all people aged 16 and over in household have English as a main language (English or Welsh in Wales)
303,KS206EW0004,Count,Household,No people aged 16 and over in household but at least one person aged 3 to 15 has English as a main language (English or Welsh in Wales)
304,KS206EW0005,Count,Household,No people in household have English as a main language (English or Welsh in Wales)
305,KS206EW0006,Percentage,Household,All people aged 16 and over in household have English as a main language (English or Welsh in Wales)
306,KS206EW0007,Percentage,Household,At least one but not all people aged 16 and over in household have English as a main language (English or Welsh in Wales)
307,KS206EW0008,Percentage,Household,No people aged 16 and over in household but at least one person aged 3 to 15 has English as a main language (English or Welsh in Wales)
308,KS206EW0009,Percentage,Household,No people in household have English as a main language (English or Welsh in Wales)
309,KS207WA0001,Count,Person,All usual residents aged 3 and over
310,KS207WA0002,Count,Person,No skills in Welsh
311,KS207WA0003,Count,Person,Can understand spoken Welsh only
312,KS207WA0004,Count,Person,Can speak Welsh
313,KS207WA0005,Count,Person,Can speak but cannot read or write Welsh
314,KS207WA0006,Count,Person,Can speak and read but cannot write Welsh
315,KS207WA0007,Count,Person,"Can speak, read and write Welsh"
316,KS207WA0008,Count,Person,Other combination of skills in Welsh
317,KS207WA0009,Percentage,Person,No skills in Welsh
318,KS207WA0010,Percentage,Person,Can understand spoken Welsh only
319,KS207WA0011,Percentage,Person,Can speak Welsh
320,KS207WA0012,Percentage,Person,Can speak but cannot read or write Welsh
321,KS207WA0014,Percentage,Person,"Can speak, read and write Welsh"
322,KS207WA0015,Percentage,Person,Other combination of skills in Welsh
323,KS208WA0001,Count,Person,All categories: Age 3 and over
324,KS208WA0002,Count,Person,Age 3 to 15
325,KS208WA0003,Count,Person,Age 16 to 64
326,KS208WA0004,Count,Person,Age 65 and over
327,KS208WA0005,Count,Person,Can understand spoken Welsh only
328,KS208WA0006,Count,Person,Can speak Welsh
329,KS208WA0007,Count,Person,"Can speak, read and write Welsh"
330,KS208WA0008,Count,Person,All categories: Can speak Welsh by age 3 and over
331,KS208WA0009,Count,Person,Can speak Welsh: Age 3 to 15
332,KS208WA0010,Count,Person,Can speak Welsh: Age 16 to 64
333,KS208WA0011,Count,Person,Can speak Welsh: Age 65 and over
334,KS208WA0012,Count,Person,All categories: One or more skills in Welsh age 3 and over
335,KS208WA0013,Count,Person,One or more skills in Welsh: Age 3 to 15
336,KS208WA0014,Count,Person,One or more skills in Welsh: Age 16 to 64
337,KS208WA0015,Count,Person,One or more skills in Welsh: Age 65 and over
338,KS208WA0016,Percentage,Person,Age 3 to 15
339,KS208WA0017,Percentage,Person,Age 16 to 64
340,KS208WA0018,Percentage,Person,Age 65 and over
341,KS208WA0019,Percentage,Person,Can understand spoken Welsh only
342,KS208WA0020,Percentage,Person,Can speak Welsh
343,KS208WA0021,Percentage,Person,"Can speak, read and write Welsh"
344,KS208WA0022,Percentage,Person,Can speak Welsh: Age 3 to 15
345,KS208WA0023,Percentage,Person,Can speak Welsh: Age 16 to 64
346,KS208WA0024,Percentage,Person,Can speak Welsh: Age 65 and over
347,KS208WA0025,Percentage,Person,One or more skills in Welsh: Age 3 to 15
348,KS208WA0026,Percentage,Person,One or more skills in Welsh: Age 16 to 64
349,KS208WA0027,Percentage,Person,One or more skills in Welsh: Age 65 and over
350,KS209EW0001,Count,Person,All categories: Religion
351,KS209EW0002,Count,Person,Christian
352,KS209EW0003,Count,Person,Buddhist
353,KS209EW0004,Count,Person,Hindu
354,KS209EW0005,Count,Person,Jewish
355,KS209EW0006,Count,Person,Muslim
356,KS209EW0007,Count,Person,Sikh
357,KS209EW0008,Count,Person,Other religion
358,KS209EW0009,Count,Person,No religion
359,KS209EW0010,Count,Person,Religion not stated
360,KS209EW0011,Percentage,Person,Christian
361,KS209EW0012,Percentage,Person,Buddhist
362,KS209EW0013,Percentage,Person,Hindu
363,KS209EW0014,Percentage,Person,Jewish
364,KS209EW0015,Percentage,Person,Muslim
365,KS209EW0016,Percentage,Person,Sikh
366,KS209EW0017,Percentage,Person,Other religion
367,KS209EW0018,Percentage,Person,No religion
368,KS209EW0019,Percentage,Person,Religion not stated
369,KS301EW0001,Count,Person,All categories: Long-term health problem or disability
370,KS301EW0002,Count,Person,Day-to-day activities limited a lot
371,KS301EW0003,Count,Person,Day-to-day activities limited a little
372,KS301EW0004,Count,Person,Day-to-day activities not limited
373,KS301EW0005,Count,Person,Day-to-day activities limited a lot: Age 16 to 64
374,KS301EW0006,Count,Person,Day-to-day activities limited a little: Age 16 to 64
375,KS301EW0007,Count,Person,Day-to-day activities not limited: Age 16 to 64
376,KS301EW0008,Count,Person,Very good health
377,KS301EW0009,Count,Person,Good health
378,KS301EW0010,Count,Person,Fair health
379,KS301EW0011,Count,Person,Bad health
381,KS301EW0013,Count,Person,Provides no unpaid care
382,KS301EW0014,Count,Person,Provides 1 to 19 hours unpaid care a week
383,KS301EW0015,Count,Person,Provides 20 to 49 hours unpaid care a week
384,KS301EW0016,Count,Person,Provides 50 or more hours unpaid care a week
385,KS301EW0017,Percentage,Person,Day-to-day activities limited a lot
386,KS301EW0018,Percentage,Person,Day-to-day activities limited a little
387,KS301EW0019,Percentage,Person,Day-to-day activities not limited
388,KS301EW0020,Percentage,Person,Day-to-day activities limited a lot: Age 16 to 64
389,KS301EW0021,Percentage,Person,Day-to-day activities limited a little: Age 16 to 64
390,KS301EW0022,Percentage,Person,Day-to-day activities not limited: Age 16 to 64
391,KS301EW0023,Percentage,Person,Very good health
392,KS301EW0024,Percentage,Person,Good health
393,KS301EW0025,Percentage,Person,Fair health
394,KS301EW0026,Percentage,Person,Bad health
395,KS301EW0027,Percentage,Person,Very bad health
396,KS301EW0028,Percentage,Person,Provides no unpaid care
397,KS301EW0029,Percentage,Person,Provides 1 to 19 hours unpaid care a week
398,KS301EW0030,Percentage,Person,Provides 20 to 49 hours unpaid care a week
399,KS301EW0031,Percentage,Person,Provides 50 or more hours unpaid care a week
400,KS401EW0001,Count,Dwelling,All categories: Dwelling type
401,KS401EW0002,Count,Dwelling,Unshared dwelling
402,KS401EW0003,Count,Dwelling,Shared dwelling: Two household spaces
403,KS401EW0004,Count,Dwelling,Shared dwelling: Three or more household spaces
404,KS401EW0005,Count,Household,All categories: Household spaces
405,KS401EW0006,Count,Household,Household spaces with at least one usual resident
406,KS401EW0007,Count,Household,Household spaces with no usual residents
407,KS401EW0008,Count,Household,Whole house or bungalow: Detached
408,KS401EW0009,Count,Household,Whole house or bungalow: Semi-detached
409,KS401EW0010,Count,Household,Whole house or bungalow: Terraced (including end-terrace)
410,KS401EW0011,Count,Household,"Flat, maisonette or apartment: Purpose-built block of flats or tenement"
411,KS401EW0012,Count,Household,"Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)"
412,KS401EW0013,Count,Household,"Flat, maisonette or apartment: In a commercial building"
413,KS401EW0014,Count,Household,Caravan or other mobile or temporary structure
414,KS401EW0015,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Unshared dwelling
415,KS401EW0016,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Shared dwelling: Two household spaces
416,KS401EW0017,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Shared dwelling: Three or more household spaces
417,KS401EW0018,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Household spaces with at least one usual resident
418,KS401EW0019,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Household spaces with no usual residents
419,KS401EW0020,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Whole house or bungalow: Detached 
420,KS401EW0021,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Whole house or bungalow: Semi-detached
421,KS401EW0022,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Whole house or bungalow: Terraced (including end-terrace)
422,KS401EW0023,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc","Flat, maisonette or apartment: Purpose-built block of flats or tenement"
423,KS401EW0024,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)"
424,KS401EW0025,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc","Flat, maisonette or apartment: In commercial building"
425,KS401EW0026,Percentage,"Represents code used for SDMX series key completeness, as this codelist is not meaningfully used, for reason of concatenation, axis derivations etc",Caravan or other mobile or temporary structure 
426,KS402EW0001,Count,Household,All categories: Tenure
427,KS402EW0002,Count,Household,Owned: Owned outright
428,KS402EW0003,Count,Household,Owned: Owned with a mortgage or loan
